condition,subset_type,layer,patch_type,n,mean_effect,median_effect,std_effect,num_effects_in_predicted_direction,fraction_effects_in_predicted_direction
evidence_false_belief_pressure,control,8,transfer,12,+0.110036,+0.112454,0.034563,0,0.0000
evidence_false_belief_pressure,control,20,rescue,12,-0.162826,-0.133545,0.442481,4,0.3333
evidence_false_belief_pressure,control,20,transfer,12,-0.331834,-0.510354,0.408244,10,0.8333
evidence_false_belief_pressure,control,28,rescue,12,-0.803063,-0.780796,0.579369,1,0.0833
evidence_false_belief_pressure,control,28,transfer,12,+0.421415,+0.347084,0.557990,3,0.2500
evidence_false_belief_pressure,control,30,rescue,12,-0.582654,-0.564690,0.573350,3,0.2500
evidence_false_belief_pressure,control,30,transfer,12,+0.332547,+0.247968,0.547260,3,0.2500
evidence_false_belief_pressure,control,32,rescue,12,+0.398125,+0.290829,0.527900,10,0.8333
evidence_false_belief_pressure,control,32,transfer,12,-0.418528,-0.339711,0.460532,10,0.8333
evidence_false_belief_pressure,control,34,rescue,12,+0.954172,+0.746942,0.448011,12,1.0000
evidence_false_belief_pressure,control,34,transfer,12,-1.129620,-0.943938,0.436286,12,1.0000
evidence_false_belief_pressure,control,35,rescue,12,-6.381892,-6.408146,0.495448,0,0.0000
evidence_false_belief_pressure,control,35,transfer,12,-5.766969,-5.735172,0.289897,12,1.0000
evidence_false_belief_pressure,degraded,8,rescue,12,+0.044403,+0.036528,0.094724,9,0.7500
evidence_false_belief_pressure,degraded,8,transfer,12,+0.081311,+0.076185,0.036821,0,0.0000
evidence_false_belief_pressure,degraded,20,rescue,12,+0.477979,+0.343755,0.873779,8,0.6667
evidence_false_belief_pressure,degraded,20,transfer,12,-0.839005,-0.814941,0.377816,12,1.0000
evidence_false_belief_pressure,degraded,28,rescue,12,+0.943610,+0.693799,1.219051,10,0.8333
evidence_false_belief_pressure,degraded,28,transfer,12,-1.256463,-0.972430,0.990533,12,1.0000
evidence_false_belief_pressure,degraded,30,rescue,12,+1.270185,+0.969893,1.120966,12,1.0000
evidence_false_belief_pressure,degraded,30,transfer,12,-1.459705,-1.110316,1.046453,12,1.0000
evidence_false_belief_pressure,degraded,32,rescue,12,+2.250817,+1.984008,1.046910,12,1.0000
evidence_false_belief_pressure,degraded,32,transfer,12,-2.198034,-1.737696,1.004626,12,1.0000
evidence_false_belief_pressure,degraded,34,rescue,12,+2.996562,+2.641825,1.054457,12,1.0000
evidence_false_belief_pressure,degraded,34,transfer,12,-2.887739,-2.540571,0.994217,12,1.0000
evidence_false_belief_pressure,degraded,35,rescue,12,-4.082352,-4.125138,1.500462,0,0.0000
evidence_false_belief_pressure,degraded,35,transfer,12,-7.280066,-7.062367,1.006685,12,1.0000
