condition,condition_label,patch_type,layer,n_degraded,mean_degraded,n_control,mean_control,real_minus_control_expected_signed,survives_control_expected_direction,p_mannwhitney_expected_ge_control
closed_context_false_belief_pressure,Closed-Context,rescue,8,12,0.281059,7,0.30426142857142857,-0.02320242857142857,False,0.483567516075256
closed_context_false_belief_pressure,Closed-Context,rescue,20,12,1.1426999999999998,7,0.11559857142857141,1.0271014285714284,True,0.034174803524648724
closed_context_false_belief_pressure,Closed-Context,rescue,28,12,3.061746833333333,7,-0.9243232857142857,3.9860701190476187,True,3.9691990156386444e-05
closed_context_false_belief_pressure,Closed-Context,rescue,30,12,3.727302083333333,7,-0.40005314285714283,4.127355226190476,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,rescue,32,12,4.871063583333333,7,0.8653217142857141,4.005741869047619,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,rescue,34,12,5.826496249999999,7,1.2702568571428567,4.556239392857142,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,rescue,35,12,-1.3054040833333334,7,-6.805298571428572,5.499894488095238,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,transfer,8,12,-0.16741625000000002,7,-0.106093,0.06132325000000001,True,0.05013098356751607
closed_context_false_belief_pressure,Closed-Context,transfer,20,12,-1.6313479166666667,7,-0.6859025714285714,0.9454453452380953,True,0.00037707390648567115
closed_context_false_belief_pressure,Closed-Context,transfer,28,12,-3.28022225,7,-0.02757714285714284,3.252645107142857,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,transfer,30,12,-3.7517728333333333,7,-0.2851012857142857,3.4666715476190477,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,transfer,32,12,-4.618675416666668,7,-1.0526452857142856,3.5660301309523823,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,transfer,34,12,-5.300718583333333,7,-1.5921684285714286,3.708550154761904,True,1.9845995078193222e-05
closed_context_false_belief_pressure,Closed-Context,transfer,35,12,-9.040456500000001,7,-5.511102857142857,3.529353642857144,True,1.9845995078193222e-05
evidence_emotional_pressure,Emotional,rescue,8,12,-0.09990975,12,-0.10511941666666667,0.005209666666666668,True,0.6024939140178809
evidence_emotional_pressure,Emotional,rescue,20,12,0.9820809166666667,12,0.4000213333333334,0.5820595833333333,True,0.013114693917428505
evidence_emotional_pressure,Emotional,rescue,28,12,3.096402666666666,12,0.8390382500000001,2.257364416666666,True,1.82922767694855e-05
evidence_emotional_pressure,Emotional,rescue,30,12,3.3375559999999997,12,1.08711075,2.25044525,True,1.82922767694855e-05
evidence_emotional_pressure,Emotional,rescue,32,12,3.638627666666667,12,1.4384378333333334,2.2001898333333334,True,1.82922767694855e-05
evidence_emotional_pressure,Emotional,rescue,34,12,4.114903083333334,12,1.5755762500000001,2.539326833333334,True,2.3474362824769373e-05
evidence_emotional_pressure,Emotional,rescue,35,12,-3.0452631666666665,12,-6.731622416666666,3.6863592499999998,True,1.82922767694855e-05
evidence_emotional_pressure,Emotional,transfer,8,12,0.11691391666666667,12,0.12328716666666667,0.006373249999999997,True,0.2916802333513516
evidence_emotional_pressure,Emotional,transfer,20,12,-1.4231319166666667,12,-0.6995115833333334,0.7236203333333333,True,0.003049472965607182
evidence_emotional_pressure,Emotional,transfer,28,12,-2.753997666666667,12,-0.8284745833333332,1.9255230833333337,True,1.82922767694855e-05
evidence_emotional_pressure,Emotional,transfer,30,12,-2.912062166666667,12,-0.9322029166666667,1.97985925,True,1.82922767694855e-05
evidence_emotional_pressure,Emotional,transfer,32,12,-3.254239833333333,12,-1.2354370833333335,2.01880275,True,1.82922767694855e-05
evidence_emotional_pressure,Emotional,transfer,34,12,-3.794812,12,-1.7745783333333334,2.0202336666666665,True,2.3474362824769373e-05
evidence_emotional_pressure,Emotional,transfer,35,12,-8.12220525,12,-6.272273083333334,1.8499321666666662,True,1.82922767694855e-05
evidence_false_belief_pressure,False Belief,rescue,8,12,0.04440333333333333,12,0.00565725,0.03874608333333333,True,0.0786063766700019
evidence_false_belief_pressure,False Belief,rescue,20,12,0.4779790833333332,12,-0.1628255833333333,0.6408046666666665,True,0.020202059794111854
evidence_false_belief_pressure,False Belief,rescue,28,12,0.9436098333333333,12,-0.8030634999999999,1.7466733333333333,True,7.78979465439415e-05
