anchor,layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm,std_delta_norm
end_of_answer_choices,9,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,16,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,17,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,18,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,19,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,19,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,19,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,19,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
