analysis,pair,anchor,permutation_index,max_balanced_accuracy_over_layers,observed_balanced_accuracy,observed_layer,n_examples,n_families
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,44,0.5461627340181618,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,45,0.544465707425394,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,46,0.5358903070895994,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,47,0.5714014912169847,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,48,0.5334801682583814,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,49,0.5387066490946183,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,50,0.5470112473145456,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,51,0.5653716307703418,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,52,0.5454496217797116,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,53,0.5524182628946941,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,54,0.5489339423372028,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,55,0.5418750338502645,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,56,0.5506309689299707,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,57,0.5627809571952123,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,58,0.5593417703236988,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,59,0.5584029896553592,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,60,0.5551443375277572,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,61,0.5559025834521854,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,62,0.5776570200935169,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,63,0.540403675687386,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,64,0.5437977288729217,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,65,0.5575996100449532,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,66,0.5525085302666499,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,67,0.5592966366377209,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,68,0.5601902836200827,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,69,0.562871224567168,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,70,0.5620227112707841,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,71,0.5731887851817082,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,72,0.5421007022801538,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,73,0.5827029661858425,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,74,0.5507663699879042,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,75,0.5498275893195645,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,76,0.5550992038417794,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,77,0.5377227347403009,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,78,0.5549186690978678,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,79,0.5629614919391237,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,80,0.5628260908811902,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,81,0.5558574497662075,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,82,0.5462078677041396,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,83,0.5410265205538806,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,84,0.5680977054034049,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,85,0.5628260908811902,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,86,0.5741275658500478,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,87,0.5594771713816324,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,88,0.5455398891516672,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,89,0.5446913758552834,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,90,0.5802476936686465,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,91,0.5609485295445109,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,92,0.5750663465183874,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,93,0.5783701323319673,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,94,0.5515246159123324,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,95,0.5601902836200827,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,96,0.5672040584210432,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,97,0.5367388203859833,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,98,0.5533570435630337,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,99,0.5534021772490116,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control_summary,all_pressure_pooled,end_of_user_message,-1,,0.8748803957321587,35,,
