layer_index,family_id,cosine_to_all8_mean_direction,cosine_to_leave_one_out_mean_direction
0,finance_budget_007,0.8939762115478516,0.858961820602417
0,finance_coupon_006,0.8396119475364685,0.7926382422447205
0,finance_membership_008,0.9204192161560059,0.8919714689254761
0,finance_refund_005,0.897546648979187,0.8721227049827576
0,policy_lab_access_002,0.9104406237602234,0.8796699047088623
0,policy_library_checkout_003,0.9061211347579956,0.8714516162872314
0,policy_lunch_pass_001,0.9323429465293884,0.9135174751281738
0,policy_rec_center_004,0.8742075562477112,0.8274495601654053
0,__summary__,0.8968332856893539,0.8634728491306305
1,finance_budget_007,0.9550904035568237,0.942093551158905
1,finance_coupon_006,0.9434319138526917,0.9269532561302185
1,finance_membership_008,0.9606685042381287,0.9469047784805298
1,finance_refund_005,0.958260178565979,0.945580005645752
1,policy_lab_access_002,0.9572795629501343,0.9437255859375
1,policy_library_checkout_003,0.9554229974746704,0.9402960538864136
1,policy_lunch_pass_001,0.966332733631134,0.9550638198852539
1,policy_rec_center_004,0.9024189114570618,0.8744102716445923
1,__summary__,0.9498631507158279,0.9343784153461456
2,finance_budget_007,0.9652016758918762,0.9539396166801453
2,finance_coupon_006,0.956733226776123,0.9436390399932861
2,finance_membership_008,0.9463204741477966,0.9286516308784485
2,finance_refund_005,0.9593091011047363,0.9466735124588013
2,policy_lab_access_002,0.9498575925827026,0.9350940585136414
2,policy_library_checkout_003,0.9468340277671814,0.9300743937492371
2,policy_lunch_pass_001,0.972542941570282,0.9633136987686157
2,policy_rec_center_004,0.938323438167572,0.92019122838974
2,__summary__,0.9543903097510338,0.9401971474289894
3,finance_budget_007,0.9593116641044617,0.9459763169288635
3,finance_coupon_006,0.9562022686004639,0.9425773620605469
3,finance_membership_008,0.9453395009040833,0.9277768135070801
3,finance_refund_005,0.9545766115188599,0.9407551884651184
3,policy_lab_access_002,0.9397465586662292,0.9225878715515137
3,policy_library_checkout_003,0.9475588798522949,0.9300606846809387
3,policy_lunch_pass_001,0.9635498523712158,0.9515156745910645
3,policy_rec_center_004,0.9382620453834534,0.9198732972145081
3,__summary__,0.9505684226751328,0.9351404011249542
4,finance_budget_007,0.9500390887260437,0.933963418006897
4,finance_coupon_006,0.9527639746665955,0.9380590915679932
4,finance_membership_008,0.9417946934700012,0.9234328269958496
4,finance_refund_005,0.939739465713501,0.9216185808181763
4,policy_lab_access_002,0.9294639825820923,0.9082066416740417
