analysis_kind,metric_name,layer_index,all_8_families_mean,all_8_families_median,excluding_policy_library_checkout_003_mean,excluding_policy_library_checkout_003_median,policy_library_checkout_003_alone_mean,policy_library_checkout_003_alone_median
delta_norm,closed_context_delta,0,0.25005115382373333,0.2518690824508667,0.2459654744182314,0.24913418292999268,0.2786509096622467,0.2786509096622467
delta_norm,distractor_delta,0,0.31036123260855675,0.3030603528022766,0.31168520024844576,0.3050272464752197,0.3010934591293335,0.3010934591293335
delta_norm,emotional_pressure_delta,0,0.17872962169349194,0.17097391933202744,0.18010000245911734,0.1728108823299408,0.16913695633411407,0.16913695633411407
delta_norm,false_pressure_delta,0,0.1426587589085102,0.1471310630440712,0.1404510076556887,0.14554697275161743,0.1581130176782608,0.1581130176782608
delta_norm,true_pressure_delta,0,0.13343309797346592,0.12901738286018372,0.1350954111133303,0.1311214715242386,0.12179690599441528,0.12179690599441528
delta_norm,closed_context_delta,1,0.9490637481212616,0.9643774926662445,0.9413505622318813,0.9519641399383545,1.0030560493469238,1.0030560493469238
delta_norm,distractor_delta,1,0.6709177419543266,0.6669861376285553,0.677031397819519,0.6728581190109253,0.6281221508979797,0.6281221508979797
delta_norm,emotional_pressure_delta,1,0.5829150080680847,0.5640667974948883,0.5837289009775434,0.5626384615898132,0.5772177577018738,0.5772177577018738
delta_norm,false_pressure_delta,1,0.5535349249839783,0.5462506413459778,0.5485821451459613,0.5363255143165588,0.5882043838500977,0.5882043838500977
delta_norm,true_pressure_delta,1,0.5287933275103569,0.5248486697673798,0.532332820551736,0.5356124639511108,0.5040168762207031,0.5040168762207031
delta_norm,closed_context_delta,2,1.8692239969968796,1.9101526737213135,1.8483139617102486,1.8643361330032349,2.015594244003296,2.015594244003296
delta_norm,distractor_delta,2,1.0258575975894928,1.0139936804771423,1.034413525036403,1.0164331197738647,0.9659661054611206,0.9659661054611206
delta_norm,emotional_pressure_delta,2,1.1564950197935104,1.1636226773262024,1.1611709083829607,1.1683275699615479,1.1237637996673584,1.1237637996673584
delta_norm,false_pressure_delta,2,1.119471937417984,1.119951069355011,1.1177878890718733,1.1086418628692627,1.1312602758407593,1.1312602758407593
delta_norm,true_pressure_delta,2,1.0812889337539673,1.0713644623756409,1.0853574957166399,1.0804258584976196,1.0528090000152588,1.0528090000152588
delta_norm,closed_context_delta,3,2.5782302618026733,2.585086464881897,2.5543278626033237,2.561685800552368,2.74554705619812,2.74554705619812
delta_norm,distractor_delta,3,1.421895146369934,1.4050163626670837,1.4278169018881661,1.406663417816162,1.3804428577423096,1.3804428577423096
delta_norm,emotional_pressure_delta,3,1.702181652188301,1.6918434500694275,1.6949767555509294,1.682054042816162,1.7526159286499023,1.7526159286499023
delta_norm,false_pressure_delta,3,1.593383178114891,1.6038099527359009,1.5811122485569544,1.5770549774169922,1.6792796850204468,1.6792796850204468
delta_norm,true_pressure_delta,3,1.596045434474945,1.589840829372406,1.594372034072876,1.5719224214553833,1.6077592372894287,1.6077592372894287
delta_norm,closed_context_delta,4,2.7277603447437286,2.716251850128174,2.7071922506604875,2.6977360248565674,2.871737003326416,2.871737003326416
delta_norm,distractor_delta,4,1.5509458631277084,1.5309798121452332,1.565529499735151,1.5366843938827515,1.4488604068756104,1.4488604068756104
delta_norm,emotional_pressure_delta,4,1.750590294599533,1.739772915840149,1.7405808142253332,1.736393928527832,1.820656657218933,1.820656657218933
delta_norm,false_pressure_delta,4,1.6464576870203018,1.637451708316803,1.6316608020237513,1.6228450536727905,1.7500358819961548,1.7500358819961548
delta_norm,true_pressure_delta,4,1.6675060391426086,1.6695166230201721,1.6718316759381975,1.6803314685821533,1.6372265815734863,1.6372265815734863
delta_norm,closed_context_delta,5,3.5638294517993927,3.611994743347168,3.5410513196672713,3.5970921516418457,3.723276376724243,3.723276376724243
delta_norm,distractor_delta,5,2.2266151010990143,2.218320369720459,2.228433540889195,2.222754716873169,2.213886022567749,2.213886022567749
delta_norm,emotional_pressure_delta,5,2.413921684026718,2.3968334197998047,2.40110673223223,2.384909152984619,2.5036263465881348,2.5036263465881348
delta_norm,false_pressure_delta,5,2.356358528137207,2.335031270980835,2.330922637666975,2.3203680515289307,2.534409761428833,2.534409761428833
delta_norm,true_pressure_delta,5,2.374668300151825,2.396221399307251,2.3748298372541154,2.3972203731536865,2.373537540435791,2.373537540435791
delta_norm,closed_context_delta,6,4.945556998252869,4.939377546310425,4.947593893323626,4.947456359863281,4.931298732757568,4.931298732757568
delta_norm,distractor_delta,6,2.920008033514023,2.8884434700012207,2.927403347832816,2.902280569076538,2.8682408332824707,2.8682408332824707
delta_norm,emotional_pressure_delta,6,3.1636605262756348,3.167081117630005,3.1584291458129883,3.1420528888702393,3.20028018951416,3.20028018951416
