condition,layer,layer_bucket,n_families,pearson_r,spearman_rho,r2,mse,mae,baseline_mse,absolute_mse_improvement,relative_mse_improvement,mean_alpha_used,alpha_values_used_json
false_pressure_delta,0,early,36,0.2845656869895014,0.18867438867438868,-0.05242118740612023,3.4723916238341683,1.4470070832305484,3.4906638670555115,0.018272243221343132,0.0052346040516230985,1.0,"{""1.0"": 36}"
false_pressure_delta,1,early,36,0.3009070884794465,0.2332046332046332,-0.07061327546902718,3.5324151723579167,1.435799456304974,3.4906638670555115,-0.04175130530240523,-0.011960849538235205,1.0,"{""1.0"": 36}"
false_pressure_delta,2,early,36,0.3230364056976622,0.2072072072072072,-0.07476533058569812,3.5461145938265783,1.4572938920723066,3.4906638670555115,-0.05545072677106688,-0.015885438668101083,1.0,"{""1.0"": 36}"
false_pressure_delta,3,early,36,0.35917043614556227,0.31377091377091376,0.02435659315013816,3.2190685956678324,1.402110405266285,3.4906638670555115,0.271595271387679,0.07780619438925768,1.0,"{""1.0"": 36}"
false_pressure_delta,4,early,36,0.23451898991383271,0.17323037323037324,-0.08319169182882846,3.5739167955972997,1.4701573099527094,3.4906638670555115,-0.08325292854178823,-0.023850170544210774,1.0,"{""1.0"": 36}"
false_pressure_delta,5,early,36,0.27448407932797564,0.1734877734877735,-0.06705855520722048,3.5206866163293236,1.5300563101967175,3.4906638670555115,-0.0300227492738121,-0.008600870899419275,1.0,"{""1.0"": 36}"
false_pressure_delta,6,early,36,0.26214704940270916,0.16473616473616473,-0.06721067916024248,3.521188538892817,1.491596356862121,3.4906638670555115,-0.03052467183730556,-0.00874466090115234,1.0,"{""1.0"": 36}"
false_pressure_delta,7,early,36,0.07417993687755342,-0.012097812097812098,-0.3706690142892777,4.522428530727094,1.7314051466269627,3.4906638670555115,-1.0317646636715825,-0.29557834926738724,1.0,"{""1.0"": 36}"
false_pressure_delta,8,early,36,0.15586185446930365,0.13719433719433718,-0.17073030277188184,3.8627444465779117,1.4642973707781897,3.4906638670555115,-0.37208057952240026,-0.10659307045689917,1.0,"{""1.0"": 36}"
false_pressure_delta,9,early,36,0.34354288460601773,0.3407979407979408,0.047508833589602784,3.1426793641158373,1.3086194598840342,3.4906638670555115,0.3479845029396742,0.09969006360764562,1.0,"{""1.0"": 36}"
false_pressure_delta,10,early,36,0.4550369666133725,0.442985842985843,0.1664144891314172,2.7503582979203336,1.3674587110678356,3.4906638670555115,0.7403055691351779,0.21208159746405192,1.0,"{""1.0"": 36}"
false_pressure_delta,11,early,36,0.5099148435215654,0.5405405405405406,0.2386252150592545,2.512103953686909,1.304550814959738,3.4906638670555115,0.9785599133686023,0.2803363344732615,1.0,"{""1.0"": 36}"
false_pressure_delta,12,middle,36,0.5124016270241408,0.5631917631917632,0.2364142994608115,2.5193987182706206,1.217756673693657,3.4906638670555115,0.9712651487848909,0.2782465415680899,1.0,"{""1.0"": 36}"
false_pressure_delta,13,middle,36,0.5970650037967202,0.6172458172458173,0.34758761247854686,2.1525899866181004,1.0911569818854332,3.4906638670555115,1.338073880437411,0.3833293411794817,1.0,"{""1.0"": 36}"
false_pressure_delta,14,middle,36,0.5114998567011525,0.49987129987129986,0.2372916557683491,2.5165039412271057,1.2065549078914855,3.4906638670555115,0.9741599258284057,0.2790758328300861,1.0,"{""1.0"": 36}"
false_pressure_delta,15,middle,36,0.45962842309545476,0.48494208494208496,0.15662848465316925,2.7826465494185992,1.3391387338439624,3.4906638670555115,0.7080173176369122,0.20283170898209338,1.0,"{""1.0"": 36}"
false_pressure_delta,16,middle,36,0.4905554325734474,0.46383526383526386,0.21934351147277287,2.575722613999109,1.2413129839632246,3.4906638670555115,0.9149412530564023,0.2621109588040011,1.0,"{""1.0"": 36}"
false_pressure_delta,17,middle,36,0.4944682568761669,0.5351351351351351,0.20882336852338024,2.610433105099202,1.178312378211154,3.4906638670555115,0.8802307619563097,0.25216715085741354,1.0,"{""1.0"": 36}"
false_pressure_delta,18,middle,36,0.43237554346211715,0.5024453024453025,0.13913074017163662,2.8403791588536254,1.2347104570104017,3.4906638670555115,0.6502847082018861,0.1862925600884116,1.0,"{""1.0"": 36}"
false_pressure_delta,19,middle,36,0.6083296734252016,0.6463320463320463,0.35695812334511656,2.121672627832955,1.120777135507928,3.4906638670555115,1.3689912392225563,0.39218649843169945,1.0,"{""1.0"": 36}"
false_pressure_delta,20,middle,36,0.6807542638714861,0.6993564993564994,0.4603502081865499,1.7805375255845783,0.9869220323032803,3.4906638670555115,1.7101263414709331,0.4899143562950621,1.0,"{""1.0"": 36}"
false_pressure_delta,21,middle,36,0.7607378637152064,0.7783783783783784,0.5742343019369711,1.4047847585754254,0.8192740831938055,3.4906638670555115,2.085879108480086,0.5975594293585171,1.0,"{""1.0"": 36}"
false_pressure_delta,22,middle,36,0.7471072334647124,0.7637065637065638,0.5531815649540666,1.4742468222748437,0.8946021062632402,3.4906638670555115,2.0164170447806677,0.5776600445008133,1.0,"{""1.0"": 36}"
false_pressure_delta,23,middle,36,0.7447947974073439,0.7619047619047619,0.551919996702672,1.478409280311093,0.8787271185881562,3.4906638670555115,2.0122545867444184,0.57646758994352,1.0,"{""1.0"": 36}"
false_pressure_delta,24,late,36,0.8045134661557686,0.8275418275418276,0.6462974786238915,1.1670172429562422,0.7562474459409714,3.4906638670555115,2.3236466240992693,0.6656747004572917,1.0,"{""1.0"": 36}"
false_pressure_delta,25,late,36,0.8337455782408496,0.8553410553410553,0.6929073863273718,1.0132310449643986,0.723285836685035,3.4906638670555115,2.477432822091113,0.7097311332302265,1.0,"{""1.0"": 36}"
false_pressure_delta,26,late,36,0.8467355274739918,0.8864864864864865,0.7130463731183119,0.9467838374374169,0.7030643253690667,3.4906638670555115,2.5438800296180943,0.7287668267423124,1.0,"{""1.0"": 36}"
false_pressure_delta,27,late,36,0.8697604294210685,0.9032175032175033,0.7489073085055007,0.8284631373684239,0.6401700828638341,3.4906638670555115,2.6622007296870875,0.7626631583787357,1.0,"{""1.0"": 36}"
false_pressure_delta,28,late,36,0.8694504174766761,0.8877734877734877,0.7482893534770616,0.8305020376588549,0.6449838982274135,3.4906638670555115,2.6601618293966567,0.7620790573687033,1.0,"{""1.0"": 36}"
false_pressure_delta,29,late,36,0.8677795308157648,0.8857142857142857,0.747269390324311,0.8338673362205078,0.6266207889550262,3.4906638670555115,2.6567965308350034,0.7611149718280087,1.0,"{""1.0"": 36}"
false_pressure_delta,30,late,36,0.8615470168128588,0.8754182754182754,0.7387070748109681,0.8621181097938111,0.6541938645144304,3.4906638670555115,2.6285457572617004,0.7530217337938541,1.0,"{""1.0"": 36}"
false_pressure_delta,31,late,36,0.8821587103088381,0.9006435006435006,0.7724168654974753,0.7508949643252838,0.6088554343829552,3.4906638670555115,2.7397689027302277,0.7848847689368933,1.0,"{""1.0"": 36}"
