anchor,layer_index,layer_bucket,cosine_pair,n_families,mean_cosine,median_cosine,std_cosine,min_cosine,max_cosine
end_of_answer_choices,5,early,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,5,early,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,6,early,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,7,early,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,8,early,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,9,early,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,10,early,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,11,early,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,12,middle,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,13,middle,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,14,middle,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,authority_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,emotional_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,emotional_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_belief_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_belief_vs_distractor,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_belief_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_belief_vs_false_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_belief_vs_true_belief,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_belief_vs_true_rationale,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_rationale_vs_authority,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,15,middle,false_rationale_vs_emotional,80,0.0,0.0,0.0,0.0,0.0
