layer_index,hidden_metric,behavior_metric,scope_type,scope_label,excluded_family_id,n_families,pearson_correlation,spearman_correlation,mean_hidden_metric,mean_abs_behavior_metric
1,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,0.2923557926186992,0.0,0.5467562590326581,1.7230499812534876
1,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,0.36616089578047495,0.35714285714285715,0.555993412222181,2.1618268149239674
1,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,0.42864424703518716,0.32142857142857145,0.553157661642347,1.9973817552839006
1,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,0.17679193678275051,0.0,0.5485821451459613,1.5190879276820592
1,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,0.6008354812238587,0.42857142857142855,0.5500839693205697,2.11352048601423
1,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,0.47083009798525405,0.42857142857142855,0.556910080569131,1.848330089024135
1,closed_context_delta_norm,abs(delta_closed_context),all_8_families,all 8 families,,8,-0.34600996449332394,-0.14285714285714285,0.9490637481212616,3.560102939605713
1,closed_context_delta_norm,abs(delta_closed_context),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,-0.4039359771153088,-0.10714285714285714,0.9413505622318813,3.5268096923828125
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,-0.24817795036118018,0.17857142857142858,0.9570039255278451,3.4392978123256137
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.15279590641288254,0.07142857142857142,0.9411710160119193,3.804459435599191
1,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,-0.46511257811778833,-0.5,0.940294623374939,3.4951719556535994
