analysis,anchor,max_balanced_accuracy_over_layers,n_examples,n_families,observed_balanced_accuracy,observed_layer,p_value_max_over_layers,pair,permutation_index,permutation_max,permutation_mean,permutation_min,permutation_p95,permutations
overall_harmful_max_over_layers_perm,end_of_user_message,0.7788461538461539,108,36,0.30288461538461536,3,,all_conditions_pooled,40,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7788461538461539,108,36,0.30288461538461536,3,,all_conditions_pooled,41,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6586538461538461,108,36,0.30288461538461536,3,,all_conditions_pooled,42,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7548076923076923,108,36,0.30288461538461536,3,,all_conditions_pooled,43,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7692307692307692,108,36,0.30288461538461536,3,,all_conditions_pooled,44,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,45,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.8221153846153846,108,36,0.30288461538461536,3,,all_conditions_pooled,46,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,47,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7692307692307692,108,36,0.30288461538461536,3,,all_conditions_pooled,48,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7692307692307692,108,36,0.30288461538461536,3,,all_conditions_pooled,49,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7788461538461539,108,36,0.30288461538461536,3,,all_conditions_pooled,50,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7788461538461539,108,36,0.30288461538461536,3,,all_conditions_pooled,51,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7980769230769231,108,36,0.30288461538461536,3,,all_conditions_pooled,52,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6730769230769231,108,36,0.30288461538461536,3,,all_conditions_pooled,53,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7596153846153846,108,36,0.30288461538461536,3,,all_conditions_pooled,54,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7644230769230769,108,36,0.30288461538461536,3,,all_conditions_pooled,55,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,56,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7692307692307692,108,36,0.30288461538461536,3,,all_conditions_pooled,57,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6682692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,58,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7644230769230769,108,36,0.30288461538461536,3,,all_conditions_pooled,59,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.75,108,36,0.30288461538461536,3,,all_conditions_pooled,60,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6538461538461539,108,36,0.30288461538461536,3,,all_conditions_pooled,61,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6634615384615384,108,36,0.30288461538461536,3,,all_conditions_pooled,62,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7692307692307692,108,36,0.30288461538461536,3,,all_conditions_pooled,63,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.75,108,36,0.30288461538461536,3,,all_conditions_pooled,64,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.8028846153846154,108,36,0.30288461538461536,3,,all_conditions_pooled,65,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7740384615384616,108,36,0.30288461538461536,3,,all_conditions_pooled,66,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.8076923076923077,108,36,0.30288461538461536,3,,all_conditions_pooled,67,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7980769230769231,108,36,0.30288461538461536,3,,all_conditions_pooled,68,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.8028846153846154,108,36,0.30288461538461536,3,,all_conditions_pooled,69,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,70,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7980769230769231,108,36,0.30288461538461536,3,,all_conditions_pooled,71,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7980769230769231,108,36,0.30288461538461536,3,,all_conditions_pooled,72,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,73,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7836538461538461,108,36,0.30288461538461536,3,,all_conditions_pooled,74,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7596153846153846,108,36,0.30288461538461536,3,,all_conditions_pooled,75,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,76,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6634615384615384,108,36,0.30288461538461536,3,,all_conditions_pooled,77,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6730769230769231,108,36,0.30288461538461536,3,,all_conditions_pooled,78,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6586538461538461,108,36,0.30288461538461536,3,,all_conditions_pooled,79,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,80,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7884615384615384,108,36,0.30288461538461536,3,,all_conditions_pooled,81,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7596153846153846,108,36,0.30288461538461536,3,,all_conditions_pooled,82,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7596153846153846,108,36,0.30288461538461536,3,,all_conditions_pooled,83,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7692307692307692,108,36,0.30288461538461536,3,,all_conditions_pooled,84,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7644230769230769,108,36,0.30288461538461536,3,,all_conditions_pooled,85,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7548076923076923,108,36,0.30288461538461536,3,,all_conditions_pooled,86,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7644230769230769,108,36,0.30288461538461536,3,,all_conditions_pooled,87,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6682692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,88,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7836538461538461,108,36,0.30288461538461536,3,,all_conditions_pooled,89,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6730769230769231,108,36,0.30288461538461536,3,,all_conditions_pooled,90,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7740384615384616,108,36,0.30288461538461536,3,,all_conditions_pooled,91,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6923076923076923,108,36,0.30288461538461536,3,,all_conditions_pooled,92,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7740384615384616,108,36,0.30288461538461536,3,,all_conditions_pooled,93,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6971153846153846,108,36,0.30288461538461536,3,,all_conditions_pooled,94,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7451923076923077,108,36,0.30288461538461536,3,,all_conditions_pooled,95,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7548076923076923,108,36,0.30288461538461536,3,,all_conditions_pooled,96,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.8028846153846154,108,36,0.30288461538461536,3,,all_conditions_pooled,97,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.7932692307692308,108,36,0.30288461538461536,3,,all_conditions_pooled,98,,,,,
overall_harmful_max_over_layers_perm,end_of_user_message,0.6778846153846154,108,36,0.30288461538461536,3,,all_conditions_pooled,99,,,,,
overall_harmful_max_over_layers_perm_summary,end_of_user_message,,,,0.30288461538461536,3,1.0,all_conditions_pooled,-1,0.8221153846153846,0.7562980769230769,0.6538461538461539,0.8028846153846154,100
