layer_index,layer_bucket,delta_type,n_families,mean_cosine_to_leave_one_out_mean_direction,median_cosine_to_leave_one_out_mean_direction,std_cosine_to_leave_one_out_mean_direction,min_cosine_to_leave_one_out_mean_direction,max_cosine_to_leave_one_out_mean_direction
0,early,false_pressure_delta,36,0.8417148954338498,0.8470494747161865,0.0542918791780648,0.6454746723175049,0.9049063324928284
0,early,emotional_pressure_delta,36,0.8933154311445024,0.8929285407066345,0.02835724938188133,0.8298474550247192,0.9423854351043701
0,early,closed_context_delta,36,0.8450406988461813,0.8611800670623779,0.059894617709763454,0.663937509059906,0.92118239402771
1,early,false_pressure_delta,36,0.8949003799094094,0.9025042951107025,0.027810727510442092,0.7879443168640137,0.9364379644393921
1,early,emotional_pressure_delta,36,0.9122384968731139,0.9118472337722778,0.018413355628327743,0.8695769906044006,0.947802722454071
1,early,closed_context_delta,36,0.9251225491364797,0.9284316301345825,0.023645336213795963,0.834628164768219,0.9570773243904114
2,early,false_pressure_delta,36,0.856501978304651,0.8611937165260315,0.032327965852767704,0.7609137892723083,0.9104098081588745
2,early,emotional_pressure_delta,36,0.8982746269967821,0.9008453190326691,0.022492800422345947,0.8473562598228455,0.9431300163269043
2,early,closed_context_delta,36,0.9269962360461553,0.9313514828681946,0.02278355331060676,0.8293081521987915,0.9567452073097229
3,early,false_pressure_delta,36,0.8960947427484725,0.8928792774677277,0.023556483214103186,0.8461595177650452,0.9412047266960144
3,early,emotional_pressure_delta,36,0.9229835387733247,0.9230873584747314,0.021455652755325454,0.8802741765975952,0.9655194878578186
3,early,closed_context_delta,36,0.9393812070290247,0.9424917697906494,0.018500850804308504,0.884090006351471,0.9699224829673767
4,early,false_pressure_delta,36,0.9065964486863878,0.907329261302948,0.02088824671845277,0.8620929718017578,0.9487828016281128
4,early,emotional_pressure_delta,36,0.9380523032612271,0.9406377077102661,0.015612133245676865,0.8967257142066956,0.9665653109550476
4,early,closed_context_delta,36,0.939327104224099,0.9399904012680054,0.019111079716379025,0.8852061629295349,0.9707536697387695
5,early,false_pressure_delta,36,0.9038838363356061,0.909363329410553,0.025230061083086893,0.8350957632064819,0.9464862942695618
5,early,emotional_pressure_delta,36,0.9484542277124193,0.9504171311855316,0.014938542955648514,0.9017553925514221,0.9717497825622559
5,early,closed_context_delta,36,0.930199243956142,0.9374362826347351,0.02220434595671684,0.859238862991333,0.9597110748291016
6,early,false_pressure_delta,36,0.9125624696413676,0.9170858263969421,0.026612177075410654,0.8463412523269653,0.9564877152442932
6,early,emotional_pressure_delta,36,0.9579307983318964,0.9593549966812134,0.012590589672098109,0.912703812122345,0.9732418656349182
6,early,closed_context_delta,36,0.925578311085701,0.931502640247345,0.025844208619012685,0.8255344033241272,0.959906280040741
7,early,false_pressure_delta,36,0.928534080584844,0.9339453279972076,0.021793252133864013,0.8790637254714966,0.9611060619354248
7,early,emotional_pressure_delta,36,0.962023365828726,0.9643520414829254,0.01172425423282877,0.9191345572471619,0.9774456024169922
7,early,closed_context_delta,36,0.9325921303696103,0.9402247369289398,0.02424311934877711,0.8479812145233154,0.9649637937545776
8,early,false_pressure_delta,36,0.9275751809279124,0.932144045829773,0.02258462599505522,0.8537847399711609,0.9586224555969238
8,early,emotional_pressure_delta,36,0.957219218214353,0.960753470659256,0.012696572733550248,0.9178950190544128,0.9755523204803467
8,early,closed_context_delta,36,0.9418970793485641,0.9500274956226349,0.021274317038664683,0.8714191913604736,0.9662622809410095
9,early,false_pressure_delta,36,0.9451445986827215,0.945721447467804,0.014382225339731455,0.9152119159698486,0.9710375666618347
9,early,emotional_pressure_delta,36,0.9718288845486112,0.9731791317462921,0.008640691007313888,0.9500808715820312,0.986079752445221
9,early,closed_context_delta,36,0.9555744694338905,0.9589447975158691,0.01522285564910026,0.90131676197052,0.9767954349517822
10,early,false_pressure_delta,36,0.9514292842812009,0.9542229175567627,0.01385691885405763,0.9038048982620239,0.9729975461959839
10,early,emotional_pressure_delta,36,0.9731558147403929,0.973907470703125,0.007423009212159931,0.9523288011550903,0.9853419065475464
10,early,closed_context_delta,36,0.9653850115007825,0.9676697552204132,0.01145529115041837,0.9188910126686096,0.9805901646614075
11,early,false_pressure_delta,36,0.9488348762194315,0.9518986344337463,0.015401571034919324,0.9035302400588989,0.9704685211181641
11,early,emotional_pressure_delta,36,0.9701480584012138,0.9725714921951294,0.00907694375650499,0.9443575143814087,0.9835500717163086
11,early,closed_context_delta,36,0.9616977688339021,0.9642107486724854,0.014276264793760667,0.9158353805541992,0.9774872660636902
12,middle,false_pressure_delta,36,0.936795237991545,0.9417101442813873,0.01995967553180457,0.8737202286720276,0.9634666442871094
12,middle,emotional_pressure_delta,36,0.9653198818365732,0.9664612710475922,0.009624314471008045,0.9407007694244385,0.9791288375854492
12,middle,closed_context_delta,36,0.9633864528603024,0.9666071534156799,0.014929231619415404,0.9180837869644165,0.9804449081420898
13,middle,false_pressure_delta,36,0.9375017252233293,0.9411269128322601,0.017960906479445937,0.8891231417655945,0.9641605615615845
13,middle,emotional_pressure_delta,36,0.9685256332159042,0.9710954129695892,0.008592477089836192,0.9469884634017944,0.9807793498039246
13,middle,closed_context_delta,36,0.9622281309631135,0.9661716222763062,0.014041899860201322,0.9152722954750061,0.978633463382721
14,middle,false_pressure_delta,36,0.9341401159763336,0.938906341791153,0.02050640310688824,0.8689770698547363,0.9657319784164429
14,middle,emotional_pressure_delta,36,0.9723090247975456,0.9754517376422882,0.00976184045447843,0.9375709295272827,0.9839088320732117
14,middle,closed_context_delta,36,0.9590620514419343,0.9628486931324005,0.014011926645230198,0.9122874736785889,0.9745678901672363
15,middle,false_pressure_delta,36,0.9358018057213889,0.9412582814693451,0.021795034516544666,0.8639940023422241,0.969678521156311
15,middle,emotional_pressure_delta,36,0.9741444918844435,0.9768737852573395,0.009457016183728727,0.9382684826850891,0.9873267412185669
15,middle,closed_context_delta,36,0.9566939920186996,0.9564959704875946,0.013505259942837739,0.9157698750495911,0.9757485389709473
