delta_type,behavior_delta_name,behavior_metric,layer_index,layer_bucket,n_families,projection_mean,projection_median,projection_std,projection_min,projection_max,degradation_mean,degradation_std,pearson_correlation,spearman_correlation
false_pressure_delta,delta_false_pressure,-delta_false_pressure,0,early,36,-0.3108255925277869,-0.4780006557703018,1.0912955576689969,-2.5131497383117676,2.4076919555664062,-0.1870659722222222,1.8164337330324936,0.32459504711203174,0.22445302445302445
false_pressure_delta,delta_false_pressure,-delta_false_pressure,1,early,36,0.08569499436351988,0.031308382749557495,1.165926332422188,-2.6081602573394775,2.6289148330688477,-0.1870659722222222,1.8164337330324936,0.05674827354338695,-0.021106821106821105
false_pressure_delta,delta_false_pressure,-delta_false_pressure,2,early,36,-0.0015856240772538716,-0.10429949685931206,0.9975017915997075,-1.8897138833999634,1.6004219055175781,-0.1870659722222222,1.8164337330324936,-0.22870805674735806,-0.20643500643500642
false_pressure_delta,delta_false_pressure,-delta_false_pressure,3,early,36,-0.07822964795761639,0.06431944668292999,1.2499218806789985,-2.4859132766723633,2.9588828086853027,-0.1870659722222222,1.8164337330324936,-0.041469706919384994,-0.03835263835263835
false_pressure_delta,delta_false_pressure,-delta_false_pressure,4,early,36,-0.13963155924446052,-0.16057568415999413,1.15522112452445,-2.3426380157470703,2.260679244995117,-0.1870659722222222,1.8164337330324936,0.0887057060551165,0.1588159588159588
false_pressure_delta,delta_false_pressure,-delta_false_pressure,5,early,36,-0.0071255721979671055,-0.11230170726776123,1.1288514907842981,-2.3293325901031494,2.2654237747192383,-0.1870659722222222,1.8164337330324936,0.00022277809178078276,-0.05302445302445302
false_pressure_delta,delta_false_pressure,-delta_false_pressure,6,early,36,0.103440187457535,0.24113178998231888,1.171001334857767,-2.0861949920654297,2.3918652534484863,-0.1870659722222222,1.8164337330324936,0.12281873952988324,0.20205920205920205
false_pressure_delta,delta_false_pressure,-delta_false_pressure,7,early,36,-0.1602406601111094,-0.029054582118988037,1.0852596848810074,-2.81484317779541,1.418773889541626,-0.1870659722222222,1.8164337330324936,0.15035762638319586,0.13693693693693693
false_pressure_delta,delta_false_pressure,-delta_false_pressure,8,early,36,-0.18299935592545402,-0.3503287136554718,0.9612650088625085,-2.2805988788604736,1.3395121097564697,-0.1870659722222222,1.8164337330324936,-0.21669301952267217,-0.20411840411840412
false_pressure_delta,delta_false_pressure,-delta_false_pressure,9,early,36,0.18278060294687748,0.31594423949718475,1.1673284341592496,-2.211869716644287,3.7675817012786865,-0.1870659722222222,1.8164337330324936,-0.11033475985965577,-0.013127413127413128
false_pressure_delta,delta_false_pressure,-delta_false_pressure,10,early,36,0.18431682884693146,0.1568823754787445,1.1775517808617917,-2.3190739154815674,2.444488525390625,-0.1870659722222222,1.8164337330324936,0.012780462785374301,0.07207207207207207
false_pressure_delta,delta_false_pressure,-delta_false_pressure,11,early,36,0.11237769863671726,0.028240159153938293,1.340941846641241,-2.7656192779541016,2.2278308868408203,-0.1870659722222222,1.8164337330324936,0.01842556442869135,0.05842985842985843
false_pressure_delta,delta_false_pressure,-delta_false_pressure,12,middle,36,0.11645786671174897,0.3264898359775543,1.170210770149469,-3.4728152751922607,2.051783323287964,-0.1870659722222222,1.8164337330324936,-0.21553549318707252,-0.15315315315315314
false_pressure_delta,delta_false_pressure,-delta_false_pressure,13,middle,36,-0.03860552319222026,-0.0054548755288124084,0.9606139325281976,-2.652541160583496,1.8978512287139893,-0.1870659722222222,1.8164337330324936,-0.19006365228445452,-0.15675675675675677
false_pressure_delta,delta_false_pressure,-delta_false_pressure,14,middle,36,-0.39056309188405675,-0.46919773519039154,1.117476310414099,-2.5138044357299805,2.581965208053589,-0.1870659722222222,1.8164337330324936,-0.047554014175799665,-0.005148005148005148
false_pressure_delta,delta_false_pressure,-delta_false_pressure,15,middle,36,-0.04006992114914788,-0.10263897478580475,1.1580730049942047,-2.8046247959136963,2.2462263107299805,-0.1870659722222222,1.8164337330324936,-0.16726319397351894,-0.06177606177606178
false_pressure_delta,delta_false_pressure,-delta_false_pressure,16,middle,36,-0.055228739976882935,-0.09773975610733032,0.954030879834066,-2.2811360359191895,1.7093161344528198,-0.1870659722222222,1.8164337330324936,0.11875406886723211,0.0918918918918919
false_pressure_delta,delta_false_pressure,-delta_false_pressure,17,middle,36,-0.21985608256525463,-0.2643437832593918,1.037328726035301,-2.687472105026245,1.4079071283340454,-0.1870659722222222,1.8164337330324936,-0.06478855099736834,0.009266409266409266
false_pressure_delta,delta_false_pressure,-delta_false_pressure,18,middle,36,0.1926902871992853,0.2278623878955841,0.892310396598244,-2.1168079376220703,1.9004366397857666,-0.1870659722222222,1.8164337330324936,0.0583656808725315,0.12818532818532818
false_pressure_delta,delta_false_pressure,-delta_false_pressure,19,middle,36,0.2571434633185466,0.21618999540805817,1.0656446219093678,-1.7737922668457031,2.6214075088500977,-0.1870659722222222,1.8164337330324936,-0.2597627492453827,-0.22136422136422138
false_pressure_delta,delta_false_pressure,-delta_false_pressure,20,middle,36,-0.22526334019170868,-0.3384900242090225,0.9485902065718634,-1.615473747253418,2.8053174018859863,-0.1870659722222222,1.8164337330324936,-0.045294509461577384,-0.05868725868725869
false_pressure_delta,delta_false_pressure,-delta_false_pressure,21,middle,36,0.1394695701698462,0.03719332814216614,1.165073343980261,-2.124671459197998,2.939603328704834,-0.1870659722222222,1.8164337330324936,0.2769715076401671,0.25225225225225223
false_pressure_delta,delta_false_pressure,-delta_false_pressure,22,middle,36,0.46903909825616413,0.35743942856788635,1.3098383043906052,-1.8294126987457275,3.302839517593384,-0.1870659722222222,1.8164337330324936,0.024894049634985663,0.023166023166023165
false_pressure_delta,delta_false_pressure,-delta_false_pressure,23,middle,36,-0.0027456076608763803,-0.1741562932729721,1.0974691027014156,-2.4075942039489746,2.3526976108551025,-0.1870659722222222,1.8164337330324936,0.06429964248347293,0.061003861003861
false_pressure_delta,delta_false_pressure,-delta_false_pressure,24,late,36,0.3360086547003852,0.09871544688940048,1.1879866003633113,-1.918103814125061,4.2271223068237305,-0.1870659722222222,1.8164337330324936,0.10940213638349158,0.1534105534105534
false_pressure_delta,delta_false_pressure,-delta_false_pressure,25,late,36,0.24922248969475427,0.07112224400043488,1.1072947398487936,-1.9145342111587524,2.261713981628418,-0.1870659722222222,1.8164337330324936,-0.02229497180107037,0.001287001287001287
false_pressure_delta,delta_false_pressure,-delta_false_pressure,26,late,36,0.05512318635980288,-0.16796863079071045,1.3797327277473368,-3.2134833335876465,3.3274500370025635,-0.1870659722222222,1.8164337330324936,0.1821365274743002,0.16396396396396395
false_pressure_delta,delta_false_pressure,-delta_false_pressure,27,late,36,-0.32763995147413677,-0.16546475887298584,1.2329361695269436,-3.9007842540740967,1.809220790863037,-0.1870659722222222,1.8164337330324936,-0.26056334187352354,-0.09884169884169884
false_pressure_delta,delta_false_pressure,-delta_false_pressure,28,late,36,0.08119664299819204,0.1359397992491722,0.8532574330283975,-1.7048656940460205,2.127471446990967,-0.1870659722222222,1.8164337330324936,0.19803806406281774,0.11866151866151867
false_pressure_delta,delta_false_pressure,-delta_false_pressure,29,late,36,0.011607300076219771,0.1922619342803955,1.284394091172877,-4.490972995758057,2.5613327026367188,-0.1870659722222222,1.8164337330324936,-0.010005849681715414,0.1287001287001287
false_pressure_delta,delta_false_pressure,-delta_false_pressure,30,late,36,-0.15284161186880535,-0.04997182637453079,1.2650653516972186,-3.2373437881469727,2.4830517768859863,-0.1870659722222222,1.8164337330324936,-0.29220487215463953,-0.209009009009009
false_pressure_delta,delta_false_pressure,-delta_false_pressure,31,late,36,-0.03486159029934141,-0.05043022334575653,1.0046191392781207,-2.6691126823425293,2.0377249717712402,-0.1870659722222222,1.8164337330324936,-0.12832107323853206,-0.06975546975546976
false_pressure_delta,delta_false_pressure,-delta_false_pressure,32,late,36,0.08585293280581634,-0.01626407727599144,1.1119043266018087,-2.6037261486053467,2.7989354133605957,-0.1870659722222222,1.8164337330324936,0.3576437093608952,0.3250965250965251
false_pressure_delta,delta_false_pressure,-delta_false_pressure,33,late,36,0.07892250393827756,0.14849785715341568,1.1140617973769085,-2.0774528980255127,2.233402967453003,-0.1870659722222222,1.8164337330324936,-0.26268351184507616,-0.15392535392535392
false_pressure_delta,delta_false_pressure,-delta_false_pressure,34,late,36,-0.29229717060095733,-0.08135351538658142,1.1487973162656948,-3.0158157348632812,1.9755253791809082,-0.1870659722222222,1.8164337330324936,-0.23375283726964427,-0.23526383526383526
false_pressure_delta,delta_false_pressure,-delta_false_pressure,35,late,36,0.018753779845105276,0.051393747329711914,1.172307090106362,-2.7486886978149414,2.5135998725891113,-0.1870659722222222,1.8164337330324936,-0.07882719142518797,-0.05070785070785071
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,0,early,36,0.06366040019525422,0.059587039053440094,0.9435340767762767,-2.529601573944092,1.8482763767242432,0.9730902777777778,1.5761109049593773,0.2780629122365667,0.3068211068211068
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,1,early,36,-0.11093959419263734,0.025821030139923096,1.0775417736916002,-2.3273587226867676,1.7584271430969238,0.9730902777777778,1.5761109049593773,0.14998624827825152,0.16731016731016732
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,2,early,36,-0.12614700777663124,0.22134388983249664,1.0117310498419156,-2.7848243713378906,1.415449619293213,0.9730902777777778,1.5761109049593773,0.2430113483595174,0.26975546975546977
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,3,early,36,-0.12655475818448597,-0.014512062072753906,1.2468160023096218,-2.9325881004333496,2.894227981567383,0.9730902777777778,1.5761109049593773,0.35988433748443666,0.262033462033462
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,4,early,36,0.12785628189643225,0.07085596024990082,1.1996390886537371,-2.5195775032043457,3.075744390487671,0.9730902777777778,1.5761109049593773,-0.019804337179988498,-0.06795366795366796
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,5,early,36,0.0656899321410391,0.21239739656448364,1.2205795448791337,-3.0195605754852295,2.4596729278564453,0.9730902777777778,1.5761109049593773,-0.2408961419867576,-0.26795366795366793
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,6,early,36,0.10700496865643395,0.1512083113193512,1.0628223393146101,-2.4447388648986816,2.090510129928589,0.9730902777777778,1.5761109049593773,0.15623148055048303,0.14826254826254825
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,7,early,36,0.07520839654737049,0.002375081181526184,1.1862287228355293,-2.0928406715393066,2.59615421295166,0.9730902777777778,1.5761109049593773,-0.06525101184260935,-0.05662805662805663
