label_scheme,layer,layer_bucket,n_examples,n_families,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts,baseline_balanced_accuracy,C_used
primary,0,early,144,36,0.7915057915057915,0.8575289575289574,0.8606193684902935,0.7857142857142857,0.7857142857142857,0.7857142857142857,"{""tn"": 59, ""fp"": 15, ""fn"": 15, ""tp"": 55}",0.5,1.0
primary,1,early,144,36,0.7498069498069498,0.8235521235521236,0.8131916095306654,0.7428571428571429,0.7428571428571429,0.7428571428571429,"{""tn"": 56, ""fp"": 18, ""fn"": 18, ""tp"": 52}",0.5,1.0
primary,2,early,144,36,0.818918918918919,0.8681467181467181,0.8741897433053222,0.8115942028985508,0.8235294117647058,0.8,"{""tn"": 62, ""fp"": 12, ""fn"": 14, ""tp"": 56}",0.5,1.0
primary,3,early,144,36,0.8196911196911197,0.8812741312741313,0.8727850069435256,0.8169014084507042,0.8055555555555556,0.8285714285714286,"{""tn"": 60, ""fp"": 14, ""fn"": 12, ""tp"": 58}",0.5,1.0
primary,4,early,144,36,0.8057915057915057,0.8702702702702703,0.8594271355516683,0.8028169014084507,0.7916666666666666,0.8142857142857143,"{""tn"": 59, ""fp"": 15, ""fn"": 13, ""tp"": 57}",0.5,1.0
primary,5,early,144,36,0.7922779922779923,0.8789575289575289,0.8620158318128841,0.7916666666666666,0.7702702702702703,0.8142857142857143,"{""tn"": 57, ""fp"": 17, ""fn"": 13, ""tp"": 57}",0.5,1.0
primary,6,early,144,36,0.8129343629343629,0.8777992277992278,0.8386435276013574,0.8111888111888111,0.7945205479452054,0.8285714285714286,"{""tn"": 59, ""fp"": 15, ""fn"": 12, ""tp"": 58}",0.5,1.0
primary,7,early,144,36,0.8057915057915057,0.8554054054054054,0.823701742487383,0.8028169014084507,0.7916666666666666,0.8142857142857143,"{""tn"": 59, ""fp"": 15, ""fn"": 13, ""tp"": 57}",0.5,1.0
primary,8,early,144,36,0.818918918918919,0.8617760617760617,0.8292273617821131,0.8115942028985508,0.8235294117647058,0.8,"{""tn"": 62, ""fp"": 12, ""fn"": 14, ""tp"": 56}",0.5,1.0
primary,9,early,144,36,0.7911196911196912,0.8693050193050194,0.8444841273670293,0.782608695652174,0.7941176470588235,0.7714285714285715,"{""tn"": 60, ""fp"": 14, ""fn"": 16, ""tp"": 54}",0.5,1.0
primary,10,early,144,36,0.8050193050193051,0.8766409266409266,0.8553182695408001,0.7971014492753623,0.8088235294117647,0.7857142857142857,"{""tn"": 61, ""fp"": 13, ""fn"": 15, ""tp"": 55}",0.5,1.0
primary,11,early,144,36,0.8117760617760618,0.8754826254826255,0.8618591401526472,0.8029197080291971,0.8208955223880597,0.7857142857142857,"{""tn"": 62, ""fp"": 12, ""fn"": 15, ""tp"": 55}",0.5,1.0
primary,12,middle,144,36,0.8125482625482625,0.890926640926641,0.8937674138868776,0.8085106382978723,0.8028169014084507,0.8142857142857143,"{""tn"": 60, ""fp"": 14, ""fn"": 13, ""tp"": 57}",0.5,1.0
primary,13,middle,144,36,0.8407335907335907,0.8974903474903475,0.902706578637317,0.8391608391608392,0.821917808219178,0.8571428571428571,"{""tn"": 61, ""fp"": 13, ""fn"": 10, ""tp"": 60}",0.5,1.0
primary,14,middle,144,36,0.8538610038610039,0.9169884169884169,0.924849367403016,0.8489208633093526,0.855072463768116,0.8428571428571429,"{""tn"": 64, ""fp"": 10, ""fn"": 11, ""tp"": 59}",0.5,1.0
primary,15,middle,144,36,0.8677606177606177,0.9243243243243243,0.9339671254265549,0.8633093525179856,0.8695652173913043,0.8571428571428571,"{""tn"": 65, ""fp"": 9, ""fn"": 10, ""tp"": 60}",0.5,1.0
primary,16,middle,144,36,0.8610038610038611,0.9227799227799227,0.9338007654227292,0.8571428571428571,0.8571428571428571,0.8571428571428571,"{""tn"": 64, ""fp"": 10, ""fn"": 10, ""tp"": 60}",0.5,1.0
primary,17,middle,144,36,0.833976833976834,0.9079150579150579,0.9226932658387947,0.8333333333333334,0.8108108108108109,0.8571428571428571,"{""tn"": 60, ""fp"": 14, ""fn"": 10, ""tp"": 60}",0.5,1.0
primary,18,middle,144,36,0.8610038610038611,0.9028957528957529,0.9154224207085575,0.8571428571428571,0.8571428571428571,0.8571428571428571,"{""tn"": 64, ""fp"": 10, ""fn"": 10, ""tp"": 60}",0.5,1.0
primary,19,middle,144,36,0.818918918918919,0.8922779922779923,0.8893294395562461,0.8115942028985508,0.8235294117647058,0.8,"{""tn"": 62, ""fp"": 12, ""fn"": 14, ""tp"": 56}",0.5,1.0
primary,20,middle,144,36,0.8046332046332046,0.9057915057915059,0.8810819261873063,0.7941176470588235,0.8181818181818182,0.7714285714285715,"{""tn"": 62, ""fp"": 12, ""fn"": 16, ""tp"": 54}",0.5,1.0
primary,21,middle,144,36,0.8391891891891892,0.9274131274131274,0.9094744103700537,0.8296296296296296,0.8615384615384616,0.8,"{""tn"": 65, ""fp"": 9, ""fn"": 14, ""tp"": 56}",0.5,1.0
primary,22,middle,144,36,0.8249034749034749,0.9310810810810811,0.9168337907939983,0.8120300751879699,0.8571428571428571,0.7714285714285715,"{""tn"": 65, ""fp"": 9, ""fn"": 16, ""tp"": 54}",0.5,1.0
primary,23,middle,144,36,0.8602316602316602,0.9372586872586872,0.9359134489102023,0.8529411764705882,0.8787878787878788,0.8285714285714286,"{""tn"": 66, ""fp"": 8, ""fn"": 12, ""tp"": 58}",0.5,1.0
primary,24,late,144,36,0.8673745173745173,0.949034749034749,0.9462295363997814,0.8613138686131386,0.8805970149253731,0.8428571428571429,"{""tn"": 66, ""fp"": 8, ""fn"": 11, ""tp"": 59}",0.5,1.0
primary,25,late,144,36,0.8951737451737452,0.9588803088803088,0.9569393590376597,0.8905109489051095,0.9104477611940298,0.8714285714285714,"{""tn"": 68, ""fp"": 6, ""fn"": 9, ""tp"": 61}",0.5,1.0
primary,26,late,144,36,0.8737451737451738,0.9517374517374517,0.9475808650936842,0.8656716417910447,0.90625,0.8285714285714286,"{""tn"": 68, ""fp"": 6, ""fn"": 12, ""tp"": 58}",0.5,1.0
primary,27,late,144,36,0.8741312741312741,0.9534749034749035,0.9528494065288297,0.8676470588235294,0.8939393939393939,0.8428571428571429,"{""tn"": 67, ""fp"": 7, ""fn"": 11, ""tp"": 59}",0.5,1.0
primary,28,late,144,36,0.8741312741312741,0.9494208494208495,0.9441625075563598,0.8676470588235294,0.8939393939393939,0.8428571428571429,"{""tn"": 67, ""fp"": 7, ""fn"": 11, ""tp"": 59}",0.5,1.0
